id,kind,category_ja,model,source_lemma,lemma,description_ja,final_status,passed,raw_verdict,verification_method,processing_time_seconds,evidence_model_path,evidence_model_sha256,evidence_log_path,evidence_log_sha256,notes
A01,attack,系譜・同一性置換,oclm_phase1.spthy,child_lineage_is_bound,audit_a01_child_lineage_is_bound,同一Childを異なるOracle–Parent–Time–Space系譜として受理できるか,SURVIVES,True,falsified,original clean run,1.83,models/generated_theories/A01_oclm_phase1.spthy,8727e5d2af149332d2d70fab4ce90cafe202282a7ae1cfe817998a7884c7097c,logs/original/A01_audit_a01_child_lineage_is_bound.txt,eec3f2c0578b0faead1c1667496890f9df24a6cd6db5f61d9eb2d684c5f46bac,
A02,attack,系譜・同一性置換,oclm_phase1b1_external_signature.spthy,external_child_identity_is_bound_or_compromised,audit_a02_external_child_identity_is_bound_or_compromised,Oracle鍵侵害なしで同一Child IDを異なる外部署名系譜へ置換できるか,SURVIVES,True,falsified,original clean run,4.63,models/generated_theories/A02_oclm_phase1b1_external_signature.spthy,07c13089c8ac224cc20cd2028b409687e92e771f40f883941ee4015a474c1158,logs/original/A02_audit_a02_external_child_identity_is_bound_or_compromised.txt,a52aca7ac6a7c6b7986226b2a330b8d4aeb4824e0ee8d2eb07ee4651195206ab,
A03,attack,系譜・同一性置換,oclm_phase1c2_signed_composition_certificate.spthy,signed_composition_identity_is_bound_or_compromised,audit_a03_signed_composition_identity_is_bound_or_compromised,Oracle鍵侵害なしで同一Child IDを異なる署名済み構成系譜へ置換できるか,SURVIVES,True,falsified,original clean run,21.86,models/generated_theories/A03_oclm_phase1c2_signed_composition_certificate.spthy,c37f151b770f47f127bad8b75aa6e3b752b56de91f9f67141afd5cc38c9ee534,logs/original/A03_audit_a03_signed_composition_identity_is_bound_or_compromised.txt,f268ec2419ec0c4ff6d543616e23e1d491cad3a4f33c2941cf6cc15c47d8d35d,
A04,attack,系譜・同一性置換,oclm_phase1c3b_c2_c3_composition_contract.spthy,forward_secure_composed_identity_is_bound_or_compromised,audit_a04_forward_secure_composed_identity_is_bound_or_compromised,対象旧epoch鍵・root侵害なしで同一Child IDを異なるforward-secure系譜へ置換できるか,SURVIVES,True,falsified,clean direct rerun,69.98,models/generated_theories/A04_oclm_phase1c3b_c2_c3_composition_contract.spthy,c27abbcd165554c96bf6674357d9ead3b2bbd6790fe8f8e924e6951a07dfe6b0,logs/clean/A04.txt,2806034fb8911a8f282bc384a30493e1d662ca0f74b86d19f3b741dc5c6f3a02,Original result replaced by a warning-free clean rerun.
A05,attack,Cross-instance・祖先混成,oclm_phase1.spthy,generated_child_has_full_ancestry,audit_a05_generated_child_has_full_ancestry,生成済みChildが一致するOracle発行または両Parent参加を欠けたまま成立できるか,SURVIVES,True,falsified,original clean run,1.35,models/generated_theories/A05_oclm_phase1.spthy,c46477cca513e3b4aa9b513025ec847639d9286488c0ed84b111542aaf735d39,logs/original/A05_audit_a05_generated_child_has_full_ancestry.txt,27348293035e0bf6118bed0fa40092afe061c16076f1ed40fcdfd106de6f3e78,
A06,attack,Cross-instance・祖先混成,oclm_phase1c1_composition_contract.spthy,uncompromised_acceptance_has_full_composed_ancestry,audit_a06_uncompromised_acceptance_has_full_composed_ancestry,未侵害受理で別instanceの窓・親・生成・collapse証拠を混成できるか,SURVIVES,True,falsified,original clean run,4.39,models/generated_theories/A06_oclm_phase1c1_composition_contract.spthy,5dddff072f20014ac7600d3bb23e190f3191ee191756e2b91c21cfd7c477c159,logs/original/A06_audit_a06_uncompromised_acceptance_has_full_composed_ancestry.txt,b71c31295e86f30df1e2591176a10b714d38e5e5dfd8d8692648c1436da5788a,
A07,attack,Cross-instance・祖先混成,oclm_phase1c2_signed_composition_certificate.spthy,uncompromised_signed_acceptance_has_full_ancestry,audit_a07_uncompromised_signed_acceptance_has_full_ancestry,未侵害の署名受理で完全な同一instance祖先証拠を欠落・混成できるか,SURVIVES,True,falsified,original clean run,8.29,models/generated_theories/A07_oclm_phase1c2_signed_composition_certificate.spthy,966fe8c135b8558f0db14fbbbb28d478f4d041eb04049d789c19f39b2df0005a,logs/original/A07_audit_a07_uncompromised_signed_acceptance_has_full_ancestry.txt,5076bd2ae698372cb02b9731ce6acb9beae56830bb111834766d682ce15b181a,
A08,attack,Cross-instance・祖先混成,oclm_phase1c3b_c2_c3_composition_contract.spthy,uncompromised_composed_acceptance_has_full_ancestry,audit_a08_uncompromised_composed_acceptance_has_full_ancestry,未侵害のC2/C3合成受理で別instanceの祖先部品を継ぎはぎできるか,SURVIVES,True,falsified,clean direct rerun,34.08,models/generated_theories/A08_oclm_phase1c3b_c2_c3_composition_contract.spthy,7dcb5bdd2da52f0e310a904c750e779d7a901ebe07d18410b3413842e51df2f0,logs/clean/A08.txt,dd413d958807528765da0499a6a48898d6a2b848fec80633ac0d3413d42c4274,Original result replaced by a warning-free clean rerun.
A09,attack,Replay・単回性・stale・rollback,oclm_phase1.spthy,complementary_pair_is_single_use,audit_a09_complementary_pair_is_single_use,同一issuance pairから異なる時点に複数Childを生成できるか,SURVIVES,True,falsified,original clean run,2.78,models/generated_theories/A09_oclm_phase1.spthy,832efa8dc89c877ddbec4dcb9cf8f68e97914e735828d3931f94921d17d0e3bd,logs/original/A09_audit_a09_complementary_pair_is_single_use.txt,d40a74d10190503de17f2c2d20ae6cc168c2f180f149deba3e3d69770547af38,
A10,attack,Replay・単回性・stale・rollback,oclm_phase1b2_time_space_window.spthy,window_generates_at_most_once,audit_a10_window_generates_at_most_once,同一window issuanceから複数生成を成立させられるか,SURVIVES,True,falsified,original clean run,2.70,models/generated_theories/A10_oclm_phase1b2_time_space_window.spthy,1431330e5ede01580fb08873654ebb13a220834b51064364a08c6befdf801d8a,logs/original/A10_audit_a10_window_generates_at_most_once.txt,0e675bf4857b97107117834fd2139d64f079b727f8bb2c68c5f17fccea4b7ea3,
