attack_family,target_count,survives,counterexamples,unresolved,attack_ids
Lineage and Identity Substitution,4,4,0,0,"A01, A02, A03, A04"
Cross-Instance Ancestry Splicing,4,4,0,0,"A05, A06, A07, A08"
"Replay, Single Use, Staleness, and Rollback",4,4,0,0,"A09, A10, A11, A12"
Temporal Boundaries of Key Compromise,4,4,0,0,"A13, A14, A15, A16"
Revocation and Unauthorized Reactivation,5,5,0,0,"A17, A18, A19, A20, A71"
Transparency and Split-View Acceptance,4,4,0,0,"A21, A22, A23, A24"
"Time, Space, and Oracle Binding",4,4,0,0,"A25, A26, A27, A28"
Final Composition and Canonical Conflict,4,4,0,0,"A29, A30, A31, A32"
"Lineage, Identity, and Ancestry Invariants",14,14,0,0,"A33, A35, A36, A37, A38, A39, A40, A41, A42, A43, A45, A47, A48, A61"
Composition and Evidence Boundaries,4,4,0,0,"A34, A56, A59, A67"
Adversarial Semantics and Resource Reuse,1,1,0,0,A44
Temporal Boundaries and State Transitions,17,17,0,0,"A46, A49, A50, A51, A52, A53, A54, A55, A57, A62, A63, A64, A65, A66, A68, A69, A70"
Transparency Forks and Equivocation,4,4,0,0,"A58, A60, A72, A73"
Provenance Injectivity and Reverse Identity,7,7,0,0,"A74, A75, A76, A77, A78, A79, A80"
